case,inner,outer,mode,runs,min_ms,median_ms,avg_ms,stddev_ms,pattern,expected_rows,rows,correct,fpga_time_ms_median,inner_drain_ms_median,outer_drain_ms_median,adapter_run_ms_median,result_copy_ms_median,tid_fetch_ms_median,custom_scan_ms_median,host_config_send_ms_median,host_config_ack_wait_ms_median,host_build_send_ms_median,host_build_ack_wait_ms_median,host_probe_send_ms_median,host_probe_ack_wait_ms_median,host_final_status_wait_ms_median,host_reset_wait_ms_median,host_result_recv_ms_median,host_protocol_frames_sent_median,host_protocol_frames_recv_median,host_transport_sends_median,host_bytes_sent_median,host_bytes_recv_median,host_inner_frames_sent_median,host_outer_frames_sent_median,host_ack_frames_recv_median,host_status_frames_recv_median,host_result_frames_recv_median,host_debug_frames_recv_median,host_timing_frames_recv_median,host_result_pairs_recv_median,board_timing_version_median,board_timing_flags_median,board_clock_hz_median,board_inner_rows_median,board_outer_rows_median,board_matched_rows_median,board_inner_frames_median,board_outer_frames_median,board_result_frames_median,board_ack_frames_median,board_debug_frames_median,board_bytes_rx_median,board_bytes_tx_median,board_session_total_cycles_median,board_config_cycles_median,board_build_rx_cycles_median,board_build_compute_cycles_median,board_build_total_cycles_median,board_probe_rx_cycles_median,board_probe_compute_cycles_median,board_result_emit_cycles_median,board_probe_total_cycles_median,board_ack_emit_cycles_median,board_rx_wait_cycles_median,board_tx_blocked_cycles_median,board_protocol_wait_cycles_median,board_max_build_batch_cycles_median,board_max_probe_batch_cycles_median,board_max_result_frame_cycles_median,board_hash_build_inserts_median,board_hash_probe_lookups_median,board_hash_probe_hits_median,board_hash_probe_misses_median,board_hash_overflow_errors_median,board_hash_build_collision_steps_median,board_hash_probe_collision_steps_median,board_hash_max_build_probe_distance_median,board_hash_max_probe_distance_median,board_hash_table_load_factor_ppm_median
a_medium_low10,256,1020,udp,1,15.030000,15.030000,15.030000,0.000000,low10,102,102,True,14.388000,0.044000,0.145000,14.388000,0.001000,0.034000,14.611000,0.029000,0.499000,0.018000,0.482000,0.054000,1.422000,0.000000,0.000000,0.183000,13.000000,10.000000,12.000000,12812.000000,1550.000000,3.000000,9.000000,7.000000,1.000000,1.000000,0.000000,1.000000,102.000000,1.000000,1.000000,70000000.000000,256.000000,1020.000000,102.000000,3.000000,9.000000,1.000000,8.000000,0.000000,12812.000000,1550.000000,16929.000000,31.000000,2569.000000,512.000000,3081.000000,10227.000000,2040.000000,1227.000000,13494.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2360.000000,1227.000000,256.000000,1020.000000,102.000000,918.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_full,256,1024,udp,1,16.559000,16.559000,16.559000,0.000000,full,1024,1024,True,15.634000,0.039000,0.143000,15.634000,0.003000,0.175000,15.993000,0.037000,0.715000,0.014000,0.740000,0.049000,2.030000,0.000000,0.000000,1.937000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_half,256,1024,udp,1,15.720000,15.720000,15.720000,0.000000,half,512,512,True,14.964000,0.040000,0.134000,14.964000,0.002000,0.092000,15.232000,0.026000,0.478000,0.034000,0.536000,0.108000,1.823000,0.000000,0.000000,1.711000,13.000000,14.000000,12.000000,12852.000000,6482.000000,3.000000,9.000000,7.000000,1.000000,5.000000,0.000000,1.000000,512.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,512.000000,3.000000,9.000000,5.000000,8.000000,0.000000,12852.000000,6482.000000,21909.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,6159.000000,18474.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,512.000000,512.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_hotkey,256,1024,udp,1,15.993000,15.993000,15.993000,0.000000,hotkey,1024,1024,True,15.011000,0.038000,0.137000,15.011000,0.002000,0.178000,15.366000,0.039000,0.618000,0.040000,0.553000,0.125000,1.877000,0.000000,0.000000,1.741000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_none,256,1024,udp,1,15.518000,15.518000,15.518000,0.000000,none,0,0,True,14.682000,0.056000,0.158000,14.682000,0.000000,0.000000,14.896000,0.037000,0.574000,0.019000,0.560000,0.054000,1.321000,0.000000,0.000000,0.000000,13.000000,9.000000,12.000000,12852.000000,323.000000,3.000000,9.000000,7.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,0.000000,3.000000,9.000000,0.000000,8.000000,0.000000,12852.000000,323.000000,15750.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,0.000000,12315.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,1434.000000,0.000000,256.000000,1024.000000,0.000000,1024.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_outer_skew,256,1024,udp,1,17.321000,17.321000,17.321000,0.000000,outer_skew,1024,1024,True,15.795000,0.050000,0.158000,15.795000,0.005000,0.278000,16.285000,0.039000,0.773000,0.055000,0.579000,0.072000,2.065000,0.000000,0.000000,1.920000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_bram_low10,12288,49150,udp,1,79.388000,79.388000,79.388000,0.000000,low10,4915,4915,True,69.311000,1.472000,5.962000,69.311000,0.007000,1.732000,78.485000,0.027000,0.765000,1.732000,2.919000,4.781000,15.701000,0.000000,0.000000,10.356000,523.000000,306.000000,522.000000,615962.000000,63254.000000,105.000000,417.000000,262.000000,1.000000,42.000000,0.000000,1.000000,4915.000000,1.000000,1.000000,70000000.000000,12288.000000,49150.000000,4915.000000,105.000000,417.000000,42.000000,263.000000,0.000000,615962.000000,63254.000000,958427.000000,31.000000,123195.000000,26130.000000,149325.000000,492751.000000,253066.000000,59106.000000,804923.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3773.000000,1419.000000,12288.000000,49150.000000,4915.000000,44235.000000,0.000000,777.000000,77383.000000,3.000000,7.000000,750000.000000
a_bram_max_x4_low10,12288,49150,cpu,1,10.544000,10.544000,10.544000,0.000000,low10,4915,4915,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bram_full,12288,49152,udp,1,125.211000,125.211000,125.211000,0.000000,full,49152,49152,True,103.961000,1.443000,5.838000,103.961000,0.076000,8.311000,119.629000,0.048000,1.028000,1.114000,6.121000,7.007000,47.118000,0.000000,0.000000,41.844000,523.000000,681.000000,522.000000,615982.000000,595223.000000,105.000000,417.000000,262.000000,1.000000,417.000000,0.000000,1.000000,49152.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,49152.000000,105.000000,417.000000,417.000000,263.000000,0.000000,615982.000000,595223.000000,1341870.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,104520.000000,591075.000000,1188366.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3001.000000,1419.000000,12288.000000,49152.000000,49152.000000,0.000000,0.000000,777.000000,3108.000000,3.000000,3.000000,750000.000000
a_bram_half,12288,49152,udp,1,83.369000,83.369000,83.369000,0.000000,half,24576,24576,True,68.959000,1.448000,5.784000,68.959000,0.042000,4.236000,80.469000,0.062000,0.980000,0.816000,6.310000,2.383000,26.831000,0.000000,0.000000,25.347000,523.000000,473.000000,522.000000,615982.000000,299687.000000,105.000000,417.000000,262.000000,1.000000,209.000000,0.000000,1.000000,24576.000000,1.000000,1.000000,70000000.000000,12288.000000,49152.000000,24576.000000,105.000000,417.000000,209.000000,263.000000,0.000000,615982.000000,299687.000000,1128872.000000,31.000000,123195.000000,26130.000000,149325.000000,492771.000000,187058.000000,295539.000000,975368.000000,3945.000000,0.000000,0.000000,0.000000,1578.000000,3429.000000,1419.000000,12288.000000,49152.000000,24576.000000,24576.000000,0.000000,777.000000,44377.000000,3.000000,7.000000,750000.000000
