case,inner,outer,mode,runs,min_ms,median_ms,avg_ms,stddev_ms,pattern,expected_rows,rows,correct,fpga_time_ms_median,inner_drain_ms_median,outer_drain_ms_median,adapter_run_ms_median,result_copy_ms_median,tid_fetch_ms_median,custom_scan_ms_median,host_config_send_ms_median,host_config_ack_wait_ms_median,host_build_send_ms_median,host_build_ack_wait_ms_median,host_probe_send_ms_median,host_probe_ack_wait_ms_median,host_final_status_wait_ms_median,host_reset_wait_ms_median,host_result_recv_ms_median,host_protocol_frames_sent_median,host_protocol_frames_recv_median,host_transport_sends_median,host_bytes_sent_median,host_bytes_recv_median,host_inner_frames_sent_median,host_outer_frames_sent_median,host_ack_frames_recv_median,host_status_frames_recv_median,host_result_frames_recv_median,host_debug_frames_recv_median,host_timing_frames_recv_median,host_result_pairs_recv_median,board_timing_version_median,board_timing_flags_median,board_clock_hz_median,board_inner_rows_median,board_outer_rows_median,board_matched_rows_median,board_inner_frames_median,board_outer_frames_median,board_result_frames_median,board_ack_frames_median,board_debug_frames_median,board_bytes_rx_median,board_bytes_tx_median,board_session_total_cycles_median,board_config_cycles_median,board_build_rx_cycles_median,board_build_compute_cycles_median,board_build_total_cycles_median,board_probe_rx_cycles_median,board_probe_compute_cycles_median,board_result_emit_cycles_median,board_probe_total_cycles_median,board_ack_emit_cycles_median,board_rx_wait_cycles_median,board_tx_blocked_cycles_median,board_protocol_wait_cycles_median,board_max_build_batch_cycles_median,board_max_probe_batch_cycles_median,board_max_result_frame_cycles_median,board_hash_build_inserts_median,board_hash_probe_lookups_median,board_hash_probe_hits_median,board_hash_probe_misses_median,board_hash_overflow_errors_median,board_hash_build_collision_steps_median,board_hash_probe_collision_steps_median,board_hash_max_build_probe_distance_median,board_hash_max_probe_distance_median,board_hash_table_load_factor_ppm_median
tiny,16,64,cpu,1,0.137000,0.137000,0.137000,0.000000,full,64,64,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiny,16,64,udp,1,13.930000,13.930000,13.930000,0.000000,full,64,64,True,13.494000,0.014000,0.010000,13.494000,0.001000,0.013000,13.531000,0.029000,1.060000,0.000000,0.010000,0.020000,0.593000,0.000000,0.000000,0.581000,3.000000,5.000000,2.000000,822.000000,1019.000000,1.000000,1.000000,2.000000,1.000000,1.000000,0.000000,1.000000,64.000000,1.000000,1.000000,70000000.000000,16.000000,64.000000,64.000000,1.000000,1.000000,1.000000,3.000000,0.000000,822.000000,1019.000000,2016.000000,31.000000,163.000000,32.000000,195.000000,643.000000,128.000000,771.000000,1542.000000,45.000000,0.000000,0.000000,0.000000,210.000000,1760.000000,771.000000,16.000000,64.000000,64.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,976.000000
small,64,256,cpu,1,0.170000,0.170000,0.170000,0.000000,full,256,256,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small,64,256,udp,1,13.957000,13.957000,13.957000,0.000000,full,256,256,True,13.443000,0.018000,0.035000,13.443000,0.001000,0.046000,13.543000,0.037000,0.701000,0.000000,0.008000,0.085000,1.023000,0.000000,0.000000,0.980000,5.000000,8.000000,4.000000,3228.000000,3344.000000,1.000000,3.000000,3.000000,1.000000,3.000000,0.000000,1.000000,256.000000,1.000000,1.000000,70000000.000000,64.000000,256.000000,256.000000,1.000000,3.000000,3.000000,4.000000,0.000000,3228.000000,3344.000000,7227.000000,31.000000,643.000000,128.000000,771.000000,2569.000000,512.000000,3081.000000,6162.000000,60.000000,0.000000,0.000000,0.000000,786.000000,2853.000000,1419.000000,64.000000,256.000000,256.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3906.000000
a_medium_low10,256,1020,cpu,1,0.277000,0.277000,0.277000,0.000000,low10,102,102,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_low10,256,1020,udp,1,15.373000,15.373000,15.373000,0.000000,low10,102,102,True,14.516000,0.042000,0.138000,14.516000,0.002000,0.056000,14.754000,0.035000,0.492000,0.022000,0.589000,0.068000,1.447000,0.000000,0.000000,0.256000,13.000000,10.000000,12.000000,12812.000000,1550.000000,3.000000,9.000000,7.000000,1.000000,1.000000,0.000000,1.000000,102.000000,1.000000,1.000000,70000000.000000,256.000000,1020.000000,102.000000,3.000000,9.000000,1.000000,8.000000,0.000000,12812.000000,1550.000000,16929.000000,31.000000,2569.000000,512.000000,3081.000000,10227.000000,2040.000000,1227.000000,13494.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2360.000000,1227.000000,256.000000,1020.000000,102.000000,918.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_half,256,1024,cpu,1,0.295000,0.295000,0.295000,0.000000,half,512,512,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_half,256,1024,udp,1,15.133000,15.133000,15.133000,0.000000,half,512,512,True,14.414000,0.044000,0.137000,14.414000,0.001000,0.092000,14.688000,0.029000,0.516000,0.025000,0.509000,0.075000,1.642000,0.000000,0.000000,1.565000,13.000000,14.000000,12.000000,12852.000000,6482.000000,3.000000,9.000000,7.000000,1.000000,5.000000,0.000000,1.000000,512.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,512.000000,3.000000,9.000000,5.000000,8.000000,0.000000,12852.000000,6482.000000,21909.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,6159.000000,18474.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,512.000000,512.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_hotkey,256,1024,cpu,1,0.353000,0.353000,0.353000,0.000000,hotkey,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_hotkey,256,1024,udp,1,15.906000,15.906000,15.906000,0.000000,hotkey,1024,1024,True,15.045000,0.037000,0.135000,15.045000,0.002000,0.178000,15.397000,0.033000,0.693000,0.036000,0.617000,0.057000,1.755000,0.000000,0.000000,1.651000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
