case,inner,outer,mode,runs,min_ms,median_ms,avg_ms,stddev_ms,pattern,expected_rows,rows,correct,fpga_time_ms_median,inner_drain_ms_median,outer_drain_ms_median,adapter_run_ms_median,result_copy_ms_median,tid_fetch_ms_median,custom_scan_ms_median,host_config_send_ms_median,host_config_ack_wait_ms_median,host_build_send_ms_median,host_build_ack_wait_ms_median,host_probe_send_ms_median,host_probe_ack_wait_ms_median,host_final_status_wait_ms_median,host_reset_wait_ms_median,host_result_recv_ms_median,host_protocol_frames_sent_median,host_protocol_frames_recv_median,host_transport_sends_median,host_bytes_sent_median,host_bytes_recv_median,host_inner_frames_sent_median,host_outer_frames_sent_median,host_ack_frames_recv_median,host_status_frames_recv_median,host_result_frames_recv_median,host_debug_frames_recv_median,host_timing_frames_recv_median,host_result_pairs_recv_median,board_timing_version_median,board_timing_flags_median,board_clock_hz_median,board_inner_rows_median,board_outer_rows_median,board_matched_rows_median,board_inner_frames_median,board_outer_frames_median,board_result_frames_median,board_ack_frames_median,board_debug_frames_median,board_bytes_rx_median,board_bytes_tx_median,board_session_total_cycles_median,board_config_cycles_median,board_build_rx_cycles_median,board_build_compute_cycles_median,board_build_total_cycles_median,board_probe_rx_cycles_median,board_probe_compute_cycles_median,board_result_emit_cycles_median,board_probe_total_cycles_median,board_ack_emit_cycles_median,board_rx_wait_cycles_median,board_tx_blocked_cycles_median,board_protocol_wait_cycles_median,board_max_build_batch_cycles_median,board_max_probe_batch_cycles_median,board_max_result_frame_cycles_median,board_hash_build_inserts_median,board_hash_probe_lookups_median,board_hash_probe_hits_median,board_hash_probe_misses_median,board_hash_overflow_errors_median,board_hash_build_collision_steps_median,board_hash_probe_collision_steps_median,board_hash_max_build_probe_distance_median,board_hash_max_probe_distance_median,board_hash_table_load_factor_ppm_median
a_medium_low10,256,1020,cpu,1,0.355000,0.355000,0.355000,0.000000,low10,102,102,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_low10,256,1020,udp,1,15.949000,15.949000,15.949000,0.000000,low10,102,102,True,15.290000,0.036000,0.140000,15.290000,0.001000,0.031000,15.498000,0.037000,0.566000,0.019000,0.552000,0.084000,1.889000,0.000000,0.000000,0.302000,13.000000,10.000000,12.000000,12812.000000,1550.000000,3.000000,9.000000,7.000000,1.000000,1.000000,0.000000,1.000000,102.000000,1.000000,1.000000,70000000.000000,256.000000,1020.000000,102.000000,3.000000,9.000000,1.000000,8.000000,0.000000,12812.000000,1550.000000,16929.000000,31.000000,2569.000000,512.000000,3081.000000,10227.000000,2040.000000,1227.000000,13494.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2360.000000,1227.000000,256.000000,1020.000000,102.000000,918.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_full,256,1024,cpu,1,0.387000,0.387000,0.387000,0.000000,full,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_full,256,1024,udp,1,16.145000,16.145000,16.145000,0.000000,full,1024,1024,True,15.132000,0.040000,0.145000,15.132000,0.002000,0.179000,15.498000,0.028000,0.542000,0.022000,0.502000,0.076000,1.790000,0.000000,0.000000,1.669000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_half,256,1024,cpu,1,0.312000,0.312000,0.312000,0.000000,half,512,512,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_half,256,1024,udp,1,15.405000,15.405000,15.405000,0.000000,half,512,512,True,14.665000,0.037000,0.178000,14.665000,0.001000,0.096000,14.977000,0.036000,0.540000,0.022000,0.708000,0.038000,1.702000,0.000000,0.000000,1.646000,13.000000,14.000000,12.000000,12852.000000,6482.000000,3.000000,9.000000,7.000000,1.000000,5.000000,0.000000,1.000000,512.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,512.000000,3.000000,9.000000,5.000000,8.000000,0.000000,12852.000000,6482.000000,21909.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,6159.000000,18474.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,512.000000,512.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_hotkey,256,1024,cpu,1,0.371000,0.371000,0.371000,0.000000,hotkey,1024,1024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_hotkey,256,1024,udp,1,16.969000,16.969000,16.969000,0.000000,hotkey,1024,1024,True,15.927000,0.038000,0.140000,15.927000,0.003000,0.176000,16.282000,0.042000,0.853000,0.035000,0.676000,0.074000,1.957000,0.000000,0.000000,1.842000,13.000000,18.000000,12.000000,12852.000000,12638.000000,3.000000,9.000000,7.000000,1.000000,9.000000,0.000000,1.000000,1024.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,1024.000000,3.000000,9.000000,9.000000,8.000000,0.000000,12852.000000,12638.000000,28065.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,12315.000000,24630.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,2853.000000,1419.000000,256.000000,1024.000000,1024.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
a_medium_none,256,1024,cpu,1,0.387000,0.387000,0.387000,0.000000,none,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_medium_none,256,1024,udp,1,15.723000,15.723000,15.723000,0.000000,none,0,0,True,15.126000,0.039000,0.140000,15.126000,0.000000,0.000000,15.305000,0.082000,0.598000,0.032000,0.605000,0.066000,1.365000,0.000000,0.000000,0.000000,13.000000,9.000000,12.000000,12852.000000,323.000000,3.000000,9.000000,7.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,70000000.000000,256.000000,1024.000000,0.000000,3.000000,9.000000,0.000000,8.000000,0.000000,12852.000000,323.000000,15750.000000,31.000000,2569.000000,512.000000,3081.000000,10267.000000,2048.000000,0.000000,12315.000000,120.000000,0.000000,0.000000,0.000000,1434.000000,1434.000000,0.000000,256.000000,1024.000000,0.000000,1024.000000,0.000000,0.000000,0.000000,1.000000,1.000000,15625.000000
